2019;1S;INDG1022;LOGÍSTICA Y SERVICIO AL CLIENTE;1
2019;1S;INDG1015;MATERIA INTEGRADORA DE INGENIERÍA INDUSTRIAL;1
2018;2S;INDG1015;MATERIA INTEGRADORA DE INGENIERÍA INDUSTRIAL;1
2018;2S;INDG1022;LOGÍSTICA Y SERVICIO AL CLIENTE;1
2018;1S;INDG1015;MATERIA INTEGRADORA DE INGENIERÍA INDUSTRIAL;1
2018;1S;INDG1022;LOGÍSTICA Y SERVICIO AL CLIENTE;1
2019;1S;CCPG1015;SISTEMAS DISTRIBUIDOS;1
2018;2S;CCPG1015;SISTEMAS DISTRIBUIDOS;1
2018;1S;CCPG1015;SISTEMAS DISTRIBUIDOS;1
2018;1S;ESPOL00133;INVESTIGACIÓN;606
2019;1S;INDG1012;MÉTODOS DE ANALÍTICA PARA LA INDUSTRIA;1
2018;2S;INDG1012;MÉTODOS DE ANALÍTICA PARA LA INDUSTRIA;1
2018;1S;INDG1012;MÉTODOS DE ANALÍTICA PARA LA INDUSTRIA;1
2019;1S;MATG1003;ÁLGEBRA LINEAL;1
2019;1S;MATG1003;ÁLGEBRA LINEAL;8
2019;1S;MATG1003;ÁLGEBRA LINEAL;7
2019;1S;MATG1003;ÁLGEBRA LINEAL;4
2019;1S;MATG1003;ÁLGEBRA LINEAL;3
2018;2S;MATG1004L;ECUACIONES DIFERENCIALES;106
2018;2S;MATG1004L;ECUACIONES DIFERENCIALES;117
2018;2S;MATG1004L;ECUACIONES DIFERENCIALES;103
2018;2S;MATG1004L;ECUACIONES DIFERENCIALES;116
2018;1S;MATG1004L;ECUACIONES DIFERENCIALES;116
2018;1S;MATG1004L;ECUACIONES DIFERENCIALES;117
2018;1S;MATG1004L;ECUACIONES DIFERENCIALES;106
2018;1S;MATG1004L;ECUACIONES DIFERENCIALES;112
2019;1S;ALIG1024;FUNDAMENTOS DE ENVASADO;1
2018;2S;ALIG1011;PROCESAMIENTO DE LÁCTEOS;1
2018;2S;ALIG1020;DESARROLLO E INNOVACIÓN DE PRODUCTOS ALIMENTICIOS;1
2018;2S;ALIG1024;FUNDAMENTOS DE ENVASADO;1
2018;2S;ALIG1008;PROCESAMIENTO DE VEGETALES;1
2018;2S;ALIG1017;PROCESAMIENTO DE PRODUCTOS DEL MAR Y CÁRNICOS;1
2018;2S;ESPOL00133;INVESTIGACIÓN;607
2018;1S;ESPOL00133;INVESTIGACIÓN;615
2018;1S;ALIG1008;PROCESAMIENTO DE VEGETALES;1
2018;1S;ALIG1017;PROCESAMIENTO DE PRODUCTOS DEL MAR Y CÁRNICOS;1
2018;1S;ALIG1024;FUNDAMENTOS DE ENVASADO;1
2018;1S;ALIG1020;DESARROLLO E INNOVACIÓN DE PRODUCTOS ALIMENTICIOS;1
2018;1S;ALIG1011;PROCESAMIENTO DE LÁCTEOS;1
2019;1S;IDIG1001;INGLÉS I;2
2019;1S;IDIG1001;INGLÉS I;1
2019;1S;IDIG1002;INGLÉS II;1
2019;1S;IDIG1001;INGLÉS I;3
2018;2S;IDIG1001;INGLÉS I;11
2018;2S;IDIG1001;INGLÉS I;9
2018;2S;IDIG1001;INGLÉS I;10
2018;2S;IDIG1001;INGLÉS I;13
2018;2S;IDIG1001;INGLÉS I;14
2019;1S;INDG1002;INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL;1
2019;1S;INDG1006;SEGURIDAD Y SALUD OCUPACIONAL;3
2018;2S;INDG1020;PROCESOS INDUSTRIALES;2
2018;2S;INDG1002;INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL;1
2018;1S;INDG1020;PROCESOS INDUSTRIALES;1
2018;1S;INDG1002;INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL;1
2018;1S;INDG1020;PROCESOS INDUSTRIALES;2
2019;1S;FISG1001;FÍSICA I;1
2019;1S;FISG1001;FÍSICA I;3
2019;1S;FISG1001;FÍSICA I;10
2018;2S;FISG1001;FÍSICA I;16
2018;2S;FISG1001;FÍSICA I;17
2018;2S;FISG1001;FÍSICA I;13
2018;2S;FISG1001;FÍSICA I;1
2018;2S;FISG1001;FÍSICA I;10
2018;1S;FISG1001;FÍSICA I;13
2018;1S;FISG1001L;FÍSICA I;201
2018;1S;FISG1001;FÍSICA I;15
2018;1S;FISG1001L;FÍSICA I;215
2018;1S;FISG1001;FÍSICA I;9
2018;1S;FISG1001L;FÍSICA I;109
2018;1S;FISG1001L;FÍSICA I;213
2018;1S;FISG1001;FÍSICA I;1
2019;1S;EYAG1005;SISTEMAS DE CONTROL;3
2019;1S;EYAG1016;AUTOMATIZACIÓN INDUSTRIAL I;1
2018;2S;EYAG1005;SISTEMAS DE CONTROL;3
2018;2S;EYAG1016;AUTOMATIZACIÓN INDUSTRIAL I;1
2018;1S;EYAG1016;AUTOMATIZACIÓN INDUSTRIAL I;1
2018;1S;EYAG1005;SISTEMAS DE CONTROL;3
2019;1S;QUIG1001L;QUÍMICA GENERAL;113
2019;1S;QUIG1001L;QUÍMICA GENERAL;121
2019;1S;QUIG1001L;QUÍMICA GENERAL;203
2019;1S;QUIG1001L;QUÍMICA GENERAL;210
2019;1S;QUIG1001L;QUÍMICA GENERAL;218
2019;1S;QUIG1001L;QUÍMICA GENERAL;306
2019;1S;QUIG1001L;QUÍMICA GENERAL;315
2019;1S;QUIG1001L;QUÍMICA GENERAL;321
2019;1S;QUIG1003L;QUÍMICA ANALÍTICA;104
2019;2;ADM000398;QUIMICA (EX);ING17
2019;2;ADM000398;QUIMICA (EX);ING14
